Participant,Menu Type,Menu Depth,Pointing Device,Target Item,,,,,
1,Marking,1,Trackpad,Clothing,1,Clothing,1,1,Clothing
1,Marking,1,Trackpad,Food,2,Food,1,2,Food
1,Marking,1,Trackpad,Animals,3,Animals,1,3,Animals
1,Marking,2,Trackpad,Meat,2,Meat,2,1,Hats
1,Marking,2,Trackpad,Hats,1,Hats,2,2,Meat
1,Marking,2,Trackpad,Fish,3,Fish,2,3,Fish
1,Marking,3,Trackpad,Cap,1,Cap,3,1,Cap
1,Marking,3,Trackpad,Shark,3,Shark,3,2,Bacon
1,Marking,3,Trackpad,Bacon,2,Bacon,3,3,Shark
1,Marking,1,Mouse,Animals,3,Animals,,,
1,Marking,1,Mouse,Food,2,Food,,,
1,Marking,1,Mouse,Clothing,1,Clothing,,,
1,Marking,2,Mouse,Fish,3,Fish,,,
1,Marking,2,Mouse,Hats,1,Hats,,,
1,Marking,2,Mouse,Meat,2,Meat,,,
1,Marking,3,Mouse,Bacon,2,Bacon,,,
1,Marking,3,Mouse,Cap,1,Cap,,,
1,Marking,3,Mouse,Shark,3,Shark,,,
1,Radial,1,Trackpad,Animals,3,Animals,,,
1,Radial,1,Trackpad,Food,2,Food,,,
1,Radial,1,Trackpad,Clothing,1,Clothing,,,
1,Radial,2,Trackpad,Hats,1,Hats,,,
1,Radial,2,Trackpad,Meat,2,Meat,,,
1,Radial,2,Trackpad,Fish,3,Fish,,,
1,Radial,3,Trackpad,Cap,1,Cap,,,
1,Radial,3,Trackpad,Shark,3,Shark,,,
1,Radial,3,Trackpad,Bacon,2,Bacon,,,
1,Radial,1,Mouse,Animals,3,Animals,,,
1,Radial,1,Mouse,Food,2,Food,,,
1,Radial,1,Mouse,Clothing,1,Clothing,,,
1,Radial,2,Mouse,Meat,2,Meat,,,
1,Radial,2,Mouse,Fish,3,Fish,,,
1,Radial,2,Mouse,Hats,1,Hats,,,
1,Radial,3,Mouse,Shark,3,Shark,,,
1,Radial,3,Mouse,Bacon,2,Bacon,,,
1,Radial,3,Mouse,Cap,1,Cap,,,
2,Radial,1,Trackpad,Clothing,,,,,
2,Radial,1,Trackpad,Food,,,,,
2,Radial,1,Trackpad,Animals,,,,,
2,Radial,2,Trackpad,Meat,,,,,
2,Radial,2,Trackpad,Hats,,,,,
2,Radial,2,Trackpad,Fish,,,,,
2,Radial,3,Trackpad,Cap,,,,,
2,Radial,3,Trackpad,Shark,,,,,
2,Radial,3,Trackpad,Bacon,,,,,
2,Radial,1,Mouse,Animals,,,,,
2,Radial,1,Mouse,Food,,,,,
2,Radial,1,Mouse,Clothing,,,,,
2,Radial,2,Mouse,Fish,,,,,
2,Radial,2,Mouse,Hats,,,,,
2,Radial,2,Mouse,Meat,,,,,
2,Radial,3,Mouse,Bacon,,,,,
2,Radial,3,Mouse,Cap,,,,,
2,Radial,3,Mouse,Shark,,,,,
2,Marking,1,Trackpad,Animals,,,,,
2,Marking,1,Trackpad,Food,,,,,
2,Marking,1,Trackpad,Clothing,,,,,
2,Marking,2,Trackpad,Hats,,,,,
2,Marking,2,Trackpad,Meat,,,,,
2,Marking,2,Trackpad,Fish,,,,,
2,Marking,3,Trackpad,Cap,,,,,
2,Marking,3,Trackpad,Shark,,,,,
2,Marking,3,Trackpad,Bacon,,,,,
2,Marking,1,Mouse,Animals,,,,,
2,Marking,1,Mouse,Food,,,,,
2,Marking,1,Mouse,Clothing,,,,,
2,Marking,2,Mouse,Meat,,,,,
2,Marking,2,Mouse,Fish,,,,,
2,Marking,2,Mouse,Hats,,,,,
2,Marking,3,Mouse,Shark,,,,,
2,Marking,3,Mouse,Bacon,,,,,
2,Marking,3,Mouse,Cap,,,,,
3,Marking,1,Mouse,Clothing,,,,,
3,Marking,1,Mouse,Food,,,,,
3,Marking,1,Mouse,Animals,,,,,
3,Marking,2,Mouse,Meat,,,,,
3,Marking,2,Mouse,Hats,,,,,
3,Marking,2,Mouse,Fish,,,,,
3,Marking,3,Mouse,Cap,,,,,
3,Marking,3,Mouse,Shark,,,,,
3,Marking,3,Mouse,Bacon,,,,,
3,Marking,1,Trackpad,Animals,,,,,
3,Marking,1,Trackpad,Food,,,,,
3,Marking,1,Trackpad,Clothing,,,,,
3,Marking,2,Trackpad,Fish,,,,,
3,Marking,2,Trackpad,Hats,,,,,
3,Marking,2,Trackpad,Meat,,,,,
3,Marking,3,Trackpad,Bacon,,,,,
3,Marking,3,Trackpad,Cap,,,,,
3,Marking,3,Trackpad,Shark,,,,,
3,Radial,1,Mouse,Animals,,,,,
3,Radial,1,Mouse,Food,,,,,
3,Radial,1,Mouse,Clothing,,,,,
3,Radial,2,Mouse,Hats,,,,,
3,Radial,2,Mouse,Meat,,,,,
3,Radial,2,Mouse,Fish,,,,,
3,Radial,3,Mouse,Cap,,,,,
3,Radial,3,Mouse,Shark,,,,,
3,Radial,3,Mouse,Bacon,,,,,
3,Radial,1,Trackpad,Animals,,,,,
3,Radial,1,Trackpad,Food,,,,,
3,Radial,1,Trackpad,Clothing,,,,,
3,Radial,2,Trackpad,Meat,,,,,
3,Radial,2,Trackpad,Fish,,,,,
3,Radial,2,Trackpad,Hats,,,,,
3,Radial,3,Trackpad,Shark,,,,,
3,Radial,3,Trackpad,Bacon,,,,,
3,Radial,3,Trackpad,Cap,,,,,
4,Radial,1,Mouse,Clothing,,,,,
4,Radial,1,Mouse,Food,,,,,
4,Radial,1,Mouse,Animals,,,,,
4,Radial,2,Mouse,Meat,,,,,
4,Radial,2,Mouse,Hats,,,,,
4,Radial,2,Mouse,Fish,,,,,
