Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Clothing
4,0,Continents
5,1,Mammals
6,1,Reptiles
7,1,Fish
8,1,Birds
9,2,Fruit
10,2,Vegetables
11,2,Meat
12,2,Dairy
13,3,Tops
14,3,Bottoms
15,3,Shoes
16,3,Hats
17,4,Asia
18,4,Africa
19,4,Europe
20,4,America
21,5,Cats
22,5,Dogs
23,5,Hamsters
24,5,Fox
25,6,Lizard
26,6,Snake
27,6,Aligator
28,6,Crocodile
29,7,Goldfish
30,7,Shark
31,7,Catfish
32,7,Carp
33,8,Parrot
34,8,Owl
35,8,Penguin
36,8,Hummingbird
37,9,Orange
38,9,Pineapple
39,9,Strawberry
40,9,Apple
41,10,Potatoes
42,10,Onion
43,10,Celery
44,10,Garlic
45,11,Beef
46,11,Pork
47,11,Ham
48,11,Bacon
49,12,Butter
50,12,Milk
51,12,Cheese
52,12,Yoghurt
53,13,T-Shirt
54,13,Jacket
55,13,Vest
56,13,Coat
57,14,Skirt
58,14,Leggings
59,14,Tights
60,14,Jeans
61,15,Boots
62,15,Heels
63,15,Sneakers
64,15,Slippers
65,16,Cap
66,16,Sombrero
67,16,Beret
68,16,Tophat
69,17,Japan
70,17,Singapore
71,17,Malaysia
72,17,Thailand
73,18,Zimbabwe
74,18,Nigeria
75,18,Kenya
76,18,Congo
77,19,Spain
78,19,France
79,19,Germany
80,19,England
81,20,Canada
82,20,Mexico
83,20,Brazil
84,20,USA
